Category 1,Quality,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wine,Premium,Netherlands,1.0,1.0,0.9,0.9,0.9,0.6,1.0,1.4,1.9,1.9,2.3,2.9,3.5,3.3,3.5,3.0,2.5,2.8,2.6,3.4,4.7,6.7,8.6,8.3,8.5,5.8,9.0
Wine,Premium,DF Russia,,,,,,,,,,,,1.5,2.0,2.0,2.0,2.1,1.9,1.6,2.0,3.1,4.5,7.5,8.9,9.7,8.7,6.8,8.2
Wine,Premium,Australia,0.0,0.0,0.0,0.5,0.5,0.5,1.3,1.3,1.3,2.0,2.3,2.5,2.8,3.0,4.3,3.0,3.3,3.3,3.8,3.7,3.5,2.8,3.1,5.7,4.2,4.5,7.8
Wine,Premium,Portugal,0.0,,,0.1,0.2,0.6,0.9,1.5,2.1,2.5,3.0,3.5,3.2,2.8,3.4,2.5,2.5,2.5,2.3,2.0,2.2,1.3,1.7,2.2,3.1,3.5,7.4
Wine,Premium,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,6.8
Wine,Premium,Czech Republic,,,,,,,,,0.0,0.0,0.7,0.8,1.0,1.2,1.0,0.5,0.5,1.1,1.1,1.3,6.8,8.2,6.6,8.8,9.3,9.0,6.5
Wine,Premium,Poland,,,,,,,,,,,,,,,,,0.5,0.6,3.8,2.4,2.5,3.5,4.2,4.7,6.1,5.6,5.5
Wine,Premium,DF Australia,,,,,,,,,,,0.8,0.1,0.7,0.5,1.3,1.3,1.5,2.1,2.1,3.1,2.9,3.2,4.1,4.0,3.6,3.8,4.9
Wine,Premium,DF US/Canada,3.0,3.0,3.5,3.0,3.7,3.6,3.5,3.3,3.8,4.6,4.5,4.2,3.0,2.5,3.0,2.7,3.2,4.2,5.0,2.0,3.2,4.9,3.9,3.8,6.6,4.5,4.4
Wine,Premium,Austria,,,,,,,,,0.3,0.4,0.4,0.4,0.6,1.0,1.0,1.4,1.9,1.9,3.1,3.1,3.3,3.4,3.6,3.7,3.1,3.8,4.3
Wine,Premium,DF Switzerland,,,,,0.5,0.5,0.5,0.8,0.7,0.8,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.5,0.9,0.6,0.7,1.0,1.4,2.9,3.8,3.8,3.8
Wine,Premium,DF Gulf - (All Countries),,,,,,,,,,,0.5,0.5,0.5,0.4,0.3,0.3,0.5,0.5,1.3,1.0,1.2,1.7,2.4,6.0,3.1,3.6,3.7
Wine,Premium,DF France,2.0,2.5,3.0,3.3,3.0,3.9,4.6,4.9,4.7,2.5,1.2,2.1,3.1,2.2,2.1,2.0,1.7,1.8,2.1,1.8,3.0,3.4,3.8,4.0,3.9,3.7,3.7
Wine,Premium,Sweden,0.1,0.2,1.1,2.1,2.1,1.5,1.6,1.7,2.0,2.3,3.0,3.2,3.4,2.9,2.2,2.1,2.2,3.2,2.8,3.4,4.7,3.6,3.4,2.5,3.0,2.0,3.0
Wine,Premium,Belgium and Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.8,1.2,1.5,2.0,2.0,1.8,1.3,1.5,2.3,2.6,3.0,3.3,4.5,3.0,2.5,3.0
